date,title,author,tags,url
2020-12-15,"Piráti nepodpoří imaginární rozpočet, chtějí ukončit zadlužování dětí a žádají lednové jednání o spolehlivých dodavatelích pro výstavbu bloku Dukovan",,životní-prostředí energetika bezpečnost finance exekuce legislativa sněmovna,https://pirati.cz/tiskove-zpravy/rozpocet-pirati-nepodpori.html
2021-01-11,Piráti: Vláda chce vrátit možnost Hradu tajit informace o chodu kanceláře,,kontrola-moci-a-mocných vláda,https://pirati.cz/tiskove-zpravy/mynar-ma podle-vlady-rozhodovat-o-utajeni-informaci.html
2021-01-14,"Piráti: Chránit citlivá osobní data ve zdravotnictví je základ, stát na to kašle",,digitalizace zdravotnictví koronavirus,https://pirati.cz/tiskove-zpravy/data-ve-zdravotnictvi-ma-stat-chranit.html
2021-02-05,"Komentář  Ondřeje Profanta: eGovernment vláda stále nebere vážně, plán agend k digitalizaci je i po opravě neúplný a neambiciózní",Ondřej Profant,digitalizace vláda legislativa,https://pirati.cz/tiskove-zpravy/egovernment-vlada-nebere-vazne.html
2021-02-12,"Pirátům se podařilo prosadit, aby Vojenské zpravodajství nemohlo sledovat online komunikaci, nedostatečné ošetření aktivních zásahů a děravá kontrola však přetrvávají",,bezpečnost cenzura legislativa,https://pirati.cz/tiskove-zpravy/online-komunikace-smirovani-vojenske-zpravodajstvi.html
2021-03-02,Piráti vyzývají vládu k zajištění kvalitních antigenních testů pro firmy i navýšení covid nemocenské. Upozornili také na nezákonný postup policie vůči občanům při přejezdech mezi okresy,,sněmovna koronavirus zdravotnictví,https://pirati.cz/tiskove-zpravy/antigenni-testy-ve-firmach-nemocenska-brifink.html
2021-03-05,"Řidičům již postačí občanka, řidičáky mohou nechat doma. Sněmovna schválila digitalizační zákon s mnoha pirátskými návrhy",,digitalizace legislativa,https://pirati.cz/tiskove-zpravy/ridicaky-doma-digitalizacni-zakon.html
2021-04-20,Pirátský poslanec Ondřej Profant převzal cenu Zákon roku za bankovní identitu. Usnadňuje lidem komunikaci se státem a využívání online služeb,,legislativa digitalizace,https://pirati.cz/tiskove-zpravy/online-komunikace-bankovni-identita-zakon.roku.html
2021-04-30,"Piráti chrání osobní údaje, navrhují vypustit pohlaví z občanských průkazů",,lidská-práva legislativa sněmovna,https://pirati.cz/tiskove-zpravy/ochrana-osobnich-udaju-obcanky.html
2021-05-10,O 15 miliardách na modernizaci zdravotnictví rozhodovala rychlost kliknutí. Piráti žádají nápravu,,zdravotnictví digitalizace finance,https://pirati.cz/tiskove-zpravy/dotace-15-miliard-o-modernizaci-rozhodovalo-kliknuti.html
2021-05-25,"Piráti: Covid pas ve zkráceném projednání nepodpoříme, chceme zrychlit stavební řízení a budeme dále bojovat za zvýšení platů učitelů",,sněmovna legislativa,https://pirati.cz/tiskove-zpravy/brifink-covid-pas-nepodporime-chceme-vyssi-platy-ucitelu.html
2021-06-01,Řidičům díky pirátskému návrhu na cestách postačí jen občanka. Sněmovna finálně schválila digitalizační zákon,,sněmovna doprava digitalizace,https://pirati.cz/tiskove-zpravy/ridici-priste-uz-jen-s-obcankou.html
2021-06-02,"Ženy si budou moct zvolit formu svého příjmení, koncovka -ová bude volitelná",,legislativa lidská-práva,https://pirati.cz/tiskove-zpravy/formu-prijmeni-si-budou-moci-zeny-zvolit.html
2021-06-08,Piráti a Starostové: Vládní návrh covid pasu nedává smysl. Koalice navrhla také usnadnění cestování během pandemie,,zdravotnictví koronavirus vláda,https://pirati.cz/tiskove-zpravy/vladni-navrh-covidpasu-pirati-a-starostove-odmitaji.html
2021-06-09,"Covid pas schválen i s možností karantény. „Bojím se chaosu,“ říká Kolaja",,koronavirus zahraničí,https://pirati.cz/tiskove-zpravy/covidpas-certifikat-pro-eu.html
2021-06-09,"Piráti a Starostové prosazují, aby politici nemohli vlastnit média a pobírat dotace. Chtějí i lepší ochranu obětí sexuálního násilí a odmítají vládní návrh na covid pas",,legislativa korupce kontrola-moci-a-mocných lidká-práva koronavirus,https://pirati.cz/tiskove-zpravy/dotace-stret-zajmu-vlastnictvi-medii-sexualni-nasili-covidpasy-mimoradne-schuze.html
