date,title,author,tags,url
2019-01-03,Konec digitálních kopií v knihovnách? Ministerstvo kultury nezvládlo zaručit financování,Ondřej Profant,sněmovna kultura komentář,https://pirati.cz/tiskove-zpravy/komentar-profanta-konec-digitalnich-kopii-v-knihovnach.html
2019-01-09,"Piráti představili řešení kyberbezpečnosti na komisi pro NÚKIB, uvádí poslanec Profant",Ondřej Profant,sněmovna,https://pirati.cz/tiskove-zpravy/komise-k-nukib-o-bezpecnosti-technologii.html
2019-01-31,Založit firmu půjde za jeden den a online. Piráti připravili potřebnou legislativu,Martin Jiránek,sněmovna finance,https://pirati.cz/tiskove-zpravy/firmu-pujde-zalozit-za-jeden-den.html
2019-02-01,Komentář Ondřeje Profanta: O jednu absurditu méně – vláda bude muset nově zveřejňovat technické normy,Ondřej Profant,sněmovna informatika,https://pirati.cz/tiskove-zpravy/o-jednu-absurditu-mene-vlada-bude-muset-zverejnovat-technicke-normy.html
2019-02-21,Piráti se aktivně podílí na digitalizaci Česka. Připravili akční plán pro zavedení otevřeného softwaru na úřadech,Mediální odbor,sněmovna celostátní digitalizace,https://pirati.cz/tiskove-zpravy/akcni-plan-piratu-digitalizace-otevreny-software.html
2019-03-20,Piráti: Soukromí občanů v ohrožení. Vláda chce zavést možnost zpravodajských služeb šmírovat občany na internetu ,Mediální odbor,sněmovna celostátní obrana bezpečnost cenzura vnitro,https://pirati.cz/tiskove-zpravy/soukromi-obcanu-v-ohrozeni-vojenska-rozvedka.html
2019-04-02,Pirát Profant diskutoval se zástupci samospráv o Akčním plánu pro zavedení otevřeného softwaru na úřadech,Mediální odbor,celostátní digitalizace,https://pirati.cz/tiskove-zpravy/isss-profant.html
2019-04-05,Ministerstva nesprávně využívají registr smluv,Mediální odbor,celostátní digitalizace,https://pirati.cz/tiskove-zpravy/ministerstva-registr-smluv.html
2019-04-10,Piráti šíří využívání elektronického podpisu ve Sněmovně,Mediální odbor,sněmovna celostátní digitalizace,https://pirati.cz/tiskove-zpravy/piratsti-poslanci-zacali-vyuzivat-el-podpis.html
2019-04-23,NKÚ ve své zprávě k výdajům finanční správy potvrdil slova Pirátů,Mediální odbor,celostátní sněmovna digitalizace,https://pirati.cz/tiskove-zpravy/nku-potvrdil-slova-piratu.html
2019-04-30,Vláda zaujala neutrální stanovisko k pirátskému návrhu na založení firmy za jeden den,Mediální odbor,celostátní vláda sněmovna digitalizace podnikání,https://pirati.cz/tiskove-zpravy/firma-za-jeden-den-neutralni-stanovisko-vlady.html
2019-05-06,Zákon garantující digitální komunikaci občanů se státem má podporu vlády,Mediální odbor,celostátní sněmovna legislativa digitalizace,https://pirati.cz/tiskove-zpravy/garance-digitalni-sluzby-zakon-prosel-vladou.html
